#Nazwa;Lista [0,1,2,3];Kalorie/g;Wartosc odzywcza 1/g;Wartosc odzywcza 2/g;Wartosc odzywcza 3/g;Tabu;Rozdzielczosc wagowa[g];Minimalna liczba jednostek;Maksymalna liczba jednostek;Liczba jednostek
#Sniadaniowe;;;;;;;;;;
Jajo;0;1.55;0.12;0.1;0.01;1;50;1;5;1
Grzanka;0;3.7;0.1;0.06;0.66;1;11;1;5;1
Mas³o;0;7.3;0.07;0.82;0.07;1;5;1;10;1
Mleko;0;0.66;0.03;0.04;0.05;1;50;2;4;2
Twaróg;0;1.3;0.18;0.05;0.03;2;50;1;3;1
Sok pomarañczowy;0;0.4;0.01;0.002;0.09;2;150;1;2;1
Szynka;0;2.5;0.17;0.2;0.07;1;20;1;5;1
Ser gouda;0;3.26;0.27;0.22;0.13;1;20;1;5;1
Ryba po grecku;0;1.4;0.11;0.09;0.05;2;50;1;5;1
Frankfurterka;0;2.69;0.13;0.24;0.003;1;30;1;10;1
Bu³ka s³odka;0;2.54;0.06;0.04;0.46;2;80;1;2;1
Kajzerka;0;3;0.08;0.03;0.58;1;60;1;4;1
Musli;0;3.68;0.08;0.06;0.67;1;40;1;4;1
#Obiadowe;;;;;;;;;;
Schabowy;1;3.16;0.15;0.24;0.12;2;130;1;2;1
Surówka;1;0.79;0.01;0.03;0.13;1;20;2;4;1
Frytki;1;3.31;0.03;0.17;0.42;1;10;5;15;5
Filet z ³ososia;1;2;0.2;0.13;0.03;2;100;1;3;1
Pierogi ruskie;1;2.68;0.06;0.05;0.4;2;40;4;10;4
Ziemniaki gotowane;1;0.77;0.02;0.01;0.2;1;80;2;6;3
Ry¿ gotowany;1;1.2;0.03;0.004;0.25;1;50;1;4;1
Kasza gryczana;1;1;0.04;0.009;0.21;2;50;1;4;1
Karkówka duszona;1;4;0.23;0.33;0.0;2;80;1;4;1
Mielony;1;12.5;0.2;0.18;0.06;2;80;1;3;1
Zrazy jagniêce;1;2.2;0.27;0.12;0.02;2;120;1;2;1
Pstr¹g pieczony;1;1.2;0.19;0.04;0.01;2;110;1;2;1
Duszona marchew;1;0.87;0.01;0.04;0.12;1;80;1;2;1
Buraczki sma¿one;1;1.2;0.01;0.06;0.13;1;50;1;3;1
#Kolacyjne;;;;;;;;;;
Platki;2;3.96;0.07;0.04;0.81;1;30;1;4;1
Czipsy;2;5;0.05;0.29;0.53;5;10;1;10;1
Jablko;2;0.5;0.03;0.02;0.1;1;40;1;8;1
Miód;2;3.24;0.0;0.0;0.79;1;12;1;8;1
Jajecznica;2;2.16;0.12;0.18;0.01;1;50;1;4;1
Kie³basa sma¿ona;2;2;0.2;0.13;0;2;80;1;3;1
Mleko;2;0.66;0.03;0.04;0.05;1;50;2;4;2
Groszek;2;0.6;0.05;0.002;0.15;1;20;2;8;2
Sa³atka gyros;2;1.3;0.06;0.08;0.07;1;25;3;8;3
Placki ziemniaczane;2;1.66;0.03;0.09;0.18;2;50;1;5;1
Omlet;2;2.31;0.16;0.18;0.001;1;85;1;2;1
Grejpfrut;2;0.4;0.08;0.0;0.1;1;80;1;4;1
Banan;2;1;0.001;0.0;0.23;1;120;1;2;1
Ser mozzarella;2;2.3;0.19;0.17;0.001;1;20;1;6;1
#Ogólne;;;;;;;;;;
Herbata;3;0.3;0.0;0.0;0.1;2;150;1;2;1
Ciastko;3;5.08;0.03;0.24;0.7;1;10;1;10;1
Chleb;3;2.21;0.05;0.01;0.46;0;30;1;10;1
Marchew;3;0.3;0.01;0.02;0.05;1;30;1;4;1
Pomidor;3;0.2;0.2;0.05;0.1;1;20;1;10;1
Ogórek;3;0.13;0.1;0.2;0.02;1;25;1;8;1
Serek wiejski;3;0.97;0.1;0.05;0.02;1;100;1;2;1
Kompot z wiœni;3;0.98;0.003;0.002;0.3;2;100;1;2;1
Naleœniki z serem;3;1.75;0.09;0.05;0.24;2;100;1;2;1
Wafle ry¿owe;3;3.9;0.08;0.03;0.81;1;10;1;10;1
Sa³atka grecka;3;1.5;0.03;0.095;0.032;1;25;3;8;3
Nasiona s³onecznika;3;5.6;0.24;0.44;0.246;1;20;1;8;1
Pêdy bambusa;3;0.2;0.01;0;0.023;2;15;1;10;1
